2016-03-08 13:05:53,188 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact kxml2:kxml2:jar:2.3.0 has been relocated to net.sf.kxml:kxml2:jar:2.3.0
2016-03-08 13:05:53,313 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact jgrapht:jgrapht:jar:0.7.3 has been relocated to org.jgrapht:jgrapht-jdk1.5:jar:0.7.3
2016-03-08 13:05:53,313 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact kxml2:kxml2:jar:2.3.0 has been relocated to net.sf.kxml:kxml2:jar:2.3.0
2016-03-08 13:05:53,917 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact jgrapht:jgrapht:jar:0.7.3 has been relocated to org.jgrapht:jgrapht-jdk1.5:jar:0.7.3
2016-03-08 13:05:53,917 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact kxml2:kxml2:jar:2.3.0 has been relocated to net.sf.kxml:kxml2:jar:2.3.0
2016-03-08 13:05:54,203 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact jgrapht:jgrapht:jar:0.7.3 has been relocated to org.jgrapht:jgrapht-jdk1.5:jar:0.7.3
2016-03-08 13:05:54,203 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact kxml2:kxml2:jar:2.3.0 has been relocated to net.sf.kxml:kxml2:jar:2.3.0
2016-03-08 13:05:54,378 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-08 13:05:54,378 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Program_Workspaces\Server Programming\GitVersion\PhoneParkServer\jettyTestRun\src\main\resources
2016-03-08 13:05:54,394 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-08 13:05:54,394 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Program_Workspaces\Server Programming\GitVersion\PhoneParkServer\jettyTestRun\src\test\resources
